prompt, image
selfie, https://art-global.yimeta.ai/anime/1c6e4ebd5ad9187208883b7ef6f08824.webp
"on the beach, beach, bikini", https://art-global.yimeta.ai/anime/0e9321ef099c6c56c04fe4f9772328fe.webp
"bed, on the bed", https://art-global.yimeta.ai/anime/2bb80951e4ae9ec1bcc7b9eaa1a75ed4.webp
"play the piano, piano", https://art-global.yimeta.ai/anime/00c590c7d56e447f1782defd0d90fb4d.webp
"reading a book, read, book", https://art-global.yimeta.ai/anime/22a8ace9d6a2ddea3a7bc9779c0404ae.webp
"bathing, bathroom", https://art-global.yimeta.ai/anime/268d822b86a699fdca46e7956163ffe2.webp
"full-body shot", https://art-global.yimeta.ai/anime/10767959a401c894501779450e59acff.webp
"sit on the sofa, sitting", https://art-global.yimeta.ai/anime/12a04ddc582a80e0d4209901431b84c7.webp
"outdoor, street", https://art-global.yimeta.ai/anime/df0ffde312a908cc89ff32b29d4c1dc8.webp
"sea, swim", https://art-global.yimeta.ai/anime/05d1c9bbeaa7188fa9edf659db25f6d7.webp
