prompt, image
selfie, https://art-global.yimeta.ai/anime/a250ddcbd7c6a4bf0f7b1988121b2cf6.webp
"on the beach, beach, bikini", https://art-global.yimeta.ai/anime/e049427f5f55ce1b85b01e0d0151042f.webp
"bed, on the bed", https://art-global.yimeta.ai/anime/812687e11de9acaae724fc10d137ea42.webp
"play the piano, piano", https://art-global.yimeta.ai/anime/a764607392fa0bab18afdb5fcb8a6a70.webp
"play the guitar, guitar", https://art-global.yimeta.ai/anime/b143bc463249e796549655a949f134b2.webp
"bathing, bathroom", https://art-global.yimeta.ai/anime/5382fab38e492e1bd1050b6938f926bf.webp
"eat, eating",  https://art-global.yimeta.ai/anime/1be33c3d20523ae6635e8022a7f8d735.webp
"sit on the sofa, sitting", https://art-global.yimeta.ai/anime/45f68543a7cf5a6ac097bd906fc0dbf0.webp
"full-body shot", https://art-global.yimeta.ai/anime/48ef273847c41ebcda44d4c6366660e2.webp
"in the classroom", https://art-global.yimeta.ai/anime/d06d40fdf57afbdb8b1bd8919f62e652.webp
"smile", https://art-global.yimeta.ai/animation/de07cdadc52401285e52728395aba2e4.webp
